id,value
462.461.460.458.457.455.451.447.435.426.402.345,
462.461.460.458.457.455.451.447.435.426.402.392,
462.461.454.452.401.PMID-23540573,21
462.461.454.452.401.abstract01,21
462.461.460.453.450.437.417.400.352,
462.461.460.453.450.437.417.400.360,
462.459.456.444.427.399.322,
462.459.456.444.427.399.365,
462.459.448.443.398.306,
462.459.448.443.398.363,
462.461.460.458.457.439.429.415.397.292,
462.461.460.458.457.439.429.415.397.327,
462.461.460.458.457.455.446.434.396.311,
462.461.460.458.457.455.446.434.396.374,
462.461.460.458.457.455.446.424.395.PMID-25139936,21
462.461.460.458.457.455.446.424.395.366,
462.461.460.458.457.455.451.447.440.407.394.232,
462.461.460.458.457.455.451.447.440.407.394.353,
462.461.454.438.425.393.255,
462.461.454.438.425.393.338,
462.461.460.458.457.455.451.447.435.426.402.392.PMID-17387621,21
462.461.460.458.457.455.451.447.435.426.402.392.339,
462.461.454.452.436.421.409.391.315,
462.461.454.452.436.421.409.391.383,
462.461.454.452.436.390.PMID-23544014,18
462.461.454.452.436.390.325,
462.459.456.449.420.389.238,
462.459.456.449.420.389.310,
462.461.460.458.457.455.451.447.435.388.314,
462.461.460.458.457.455.451.447.435.388.335,
462.461.460.453.450.437.423.387.289,
462.461.460.453.450.437.423.387.317,
462.459.456.444.427.386.330,
462.459.456.444.427.386.341,
462.461.460.458.442.405.385.PMID-22320961,20
462.461.460.458.442.405.385.PMID-22864780,20
462.461.460.453.441.431.411.384.PMID-34260521,21
462.461.460.453.441.431.411.384.359,
462.461.454.452.436.421.409.391.383.PMID-23369609,17
462.461.454.452.436.421.409.391.383.356,
462.461.460.458.457.439.382.312,
462.461.460.458.457.439.382.342,
462.461.460.458.457.455.446.434.406.381.305,
462.461.460.458.457.455.446.434.406.381.355,
462.459.456.444.430.380.PMID-23535731,22
462.459.456.444.430.380.373,
462.459.456.444.430.379.PMID-25248036,21
462.459.456.444.430.379.336,
462.461.460.453.450.437.417.378.PMID-19336565,21
462.461.460.453.450.437.417.378.361,
462.461.460.458.442.405.377.PMID-21962133,21
462.461.460.458.442.405.377.299,
462.459.448.418.376.273,
462.459.448.418.376.333,
462.459.456.449.433.422.375.PMID-16622469,21
462.459.456.449.433.422.375.344,
462.461.460.458.457.455.446.434.396.374.284,
462.461.460.458.457.455.446.434.396.374.316,
462.459.456.444.430.380.373.PMID-25353672,22
462.459.456.444.430.380.373.283,
462.461.460.453.441.408.372.329,
462.461.460.453.441.408.372.346,
462.461.460.458.442.432.371.323,
462.461.460.458.442.432.371.340,
462.459.448.443.428.370.319,
462.459.448.443.428.370.320,
462.461.460.458.457.455.451.445.414.369.PMID-25604189,21
462.461.460.458.457.455.451.445.414.369.abstract04,20
462.461.460.458.457.455.446.424.368.PMID-18340529,21
462.461.460.458.457.455.446.424.368.304,
462.461.460.458.457.455.451.447.440.410.367.PMID-26239694,21
462.461.460.458.457.455.451.447.440.410.367.PMID-26589314,21
462.461.460.458.457.455.446.424.395.366.PMID-16501248,21
462.461.460.458.457.455.446.424.395.366.PMID-29332343,21
462.459.456.444.427.399.365.PMID-24430364,21
462.459.456.444.427.399.365.285,
462.461.460.453.441.431.364.296,
462.461.460.453.441.431.364.350,
462.459.448.443.398.363.PMID-18719092,21
462.459.448.443.398.363.290,
462.461.460.458.457.439.429.362.PMID-22883453,20
462.461.460.458.457.439.429.362.349,
462.461.460.453.450.437.417.378.361.PMID-21655989,21
462.461.460.453.450.437.417.378.361.297,
462.461.460.453.450.437.417.400.360.253,
462.461.460.453.450.437.417.400.360.261,
462.461.460.453.441.431.411.384.359.PMID-24517946,21
462.461.460.453.441.431.411.384.359.348,
462.461.460.458.457.455.451.447.435.426.403.358.318,
462.461.460.458.457.455.451.447.435.426.403.358.334,
462.461.460.453.450.437.423.357.287,
462.461.460.453.450.437.423.357.303,
462.461.454.452.436.421.409.391.383.356.PMID-26498491,19
462.461.454.452.436.421.409.391.383.356.271,
462.461.460.458.457.455.446.434.406.381.355.PMID-23001124,20
462.461.460.458.457.455.446.434.406.381.355.PMID-25122612,21
462.459.448.443.428.413.354.PMID-21708937,21
462.459.448.443.428.413.354.PMID-26795348,21
462.461.460.458.457.455.451.447.440.407.394.353.PMID-23922112,21
462.461.460.458.457.455.451.447.440.407.394.353.PMID-28757654,21
462.461.460.453.450.437.417.400.352.PMID-24114479,21
462.461.460.453.450.437.417.400.352.PMID-27236187,21
462.461.460.453.450.419.351.PMID-24127041,21
462.461.460.453.450.419.351.324,
462.461.460.453.441.431.364.350.PMID-24171766,21
462.461.460.453.441.431.364.350.251,
462.461.460.458.457.439.429.362.349.PMID-16807674,20
462.461.460.458.457.439.429.362.349.264,
462.461.460.453.441.431.411.384.359.348.275,
462.461.460.453.441.431.411.384.359.348.298,
462.461.460.453.450.419.347.265,
462.461.460.453.450.419.347.282,
462.461.460.453.441.408.372.346.PMID-31996122,21
462.461.460.453.441.408.372.346.270,
462.461.460.458.457.455.451.447.435.426.402.345.PMID-19732438,20
462.461.460.458.457.455.451.447.435.426.402.345.258,
462.459.456.449.433.422.375.344.PMID-20508983,21
462.459.456.449.433.422.375.344.PMID-27601076,21
462.461.460.458.442.432.343.PMID-18950845,21
462.461.460.458.442.432.343.313,
462.461.460.458.457.439.382.342.PMID-23565189,21
462.461.460.458.457.439.382.342.250,
462.459.456.444.427.386.341.PMID-26354892,21
462.459.456.444.427.386.341.307,
462.461.460.458.442.432.371.340.PMID-23624817,21
462.461.460.458.442.432.371.340.301,
462.461.460.458.457.455.451.447.435.426.402.392.339.PMID-23033454,21
462.461.460.458.457.455.451.447.435.426.402.392.339.abstract12,20
462.461.454.438.425.393.338.260,
462.461.454.438.425.393.338.286,
462.461.454.452.436.421.409.337.PMID-25529635,17
462.461.454.452.436.421.409.337.302,
462.459.456.444.430.379.336.PMID-27806084,21
462.459.456.444.430.379.336.236,
462.461.460.458.457.455.451.447.435.388.335.256,
462.461.460.458.457.455.451.447.435.388.335.272,
462.461.460.458.457.455.451.447.435.426.403.358.334.PMID-24289300,21
462.461.460.458.457.455.451.447.435.426.403.358.334.300,
462.459.448.418.376.333.PMID-27087578,22
462.459.448.418.376.333.293,
462.461.460.458.457.439.429.415.332.PMID-23845785,21
462.461.460.458.457.439.429.415.332.PMID-24316488,21
462.461.454.438.425.412.331.244,
462.461.454.438.425.412.331.278,
462.459.456.444.427.386.330.PMID-22472546,21
462.459.456.444.427.386.330.288,
462.461.460.453.441.408.372.329.PMID-28924212,21
462.461.460.453.441.408.372.329.PMID-30881995,21
462.461.460.458.457.455.451.447.435.426.403.328.PMID-25002657,21
462.461.460.458.457.455.451.447.435.426.403.328.308,
462.461.460.458.457.439.429.415.397.327.PMID-21566726,20
462.461.460.458.457.439.429.415.397.327.PMID-26790968,20
462.461.460.453.441.408.326.PMID-21125332,21
462.461.460.453.441.408.326.259,
462.461.454.452.436.390.325.PMID-22965832,20
462.461.454.452.436.390.325.279,
462.461.460.453.450.419.351.324.PMID-24470074,21
462.461.460.453.450.419.351.324.PMID-28171663,21
462.461.460.458.442.432.371.323.PMID-19462450,21
462.461.460.458.442.432.371.323.PMID-22166496,21
462.459.456.444.427.399.322.PMID-22747683,21
462.459.456.444.427.399.322.277,
462.461.454.438.404.321.PMID-24325915,17
462.461.454.438.404.321.309,
462.459.448.443.428.370.320.PMID-27467053,21
462.459.448.443.428.370.320.242,
462.459.448.443.428.370.319.PMID-22402307,22
462.459.448.443.428.370.319.PMID-28161869,21
462.461.460.458.457.455.451.447.435.426.403.358.318.PMID-19760037,20
462.461.460.458.457.455.451.447.435.426.403.358.318.PMID-22684821,21
462.461.460.453.450.437.423.387.317.PMID-19082709,21
462.461.460.453.450.437.423.387.317.PMID-19707196,21
462.461.460.458.457.455.446.434.396.374.316.PMID-25361632,21
462.461.460.458.457.455.446.434.396.374.316.257,
462.461.454.452.436.421.409.391.315.PMID-26803517,19
462.461.454.452.436.421.409.391.315.268,
462.461.460.458.457.455.451.447.435.388.314.PMID-22532573,21
462.461.460.458.457.455.451.447.435.388.314.281,
462.461.460.458.442.432.343.313.PMID-25838448,21
462.461.460.458.442.432.343.313.PMID-26455428,21
462.461.460.458.457.439.382.312.PMID-25900029,21
462.461.460.458.457.439.382.312.291,
462.461.460.458.457.455.446.434.396.311.PMID-20658316,21
462.461.460.458.457.455.446.434.396.311.PMID-25339023,20
462.459.456.449.420.389.310.PMID-25376863,21
462.459.456.449.420.389.310.PMID-26586665,21
462.461.454.438.404.321.309.abstract10,17
462.461.454.438.404.321.309.abstract17,17
462.461.460.458.457.455.451.447.435.426.403.328.308.PMID-23221726,20
462.461.460.458.457.455.451.447.435.426.403.328.308.247,
462.459.456.444.427.386.341.307.abstract15,21
462.459.456.444.427.386.341.307.276,
462.459.448.443.398.306.PMID-21415360,22
462.459.448.443.398.306.PMID-27859137,22
462.461.460.458.457.455.446.434.406.381.305.PMID-24177593,21
462.461.460.458.457.455.446.434.406.381.305.PMID-30194396,21
462.461.460.458.457.455.446.424.368.304.PMID-25598430,21
462.461.460.458.457.455.446.424.368.304.234,
462.461.460.453.450.437.423.357.303.PMID-24792587,21
462.461.460.453.450.437.423.357.303.254,
462.461.454.452.436.421.409.337.302.PMID-20443055,18
462.461.454.452.436.421.409.337.302.PMID-26248686,18
462.461.460.458.442.432.371.340.301.PMID-25120811,21
462.461.460.458.442.432.371.340.301.abstract06,21
462.461.460.458.457.455.451.447.435.426.403.358.334.300.PMID-18271972,21
462.461.460.458.457.455.451.447.435.426.403.358.334.300.246,
462.461.460.458.442.405.377.299.PMID-23803078,21
462.461.460.458.442.405.377.299.PMID-34257585,21
462.461.460.453.441.431.411.384.359.348.298.PMID-31655495,21
462.461.460.453.441.431.411.384.359.348.298.274,
462.461.460.453.450.437.417.378.361.297.240,
462.461.460.453.450.437.417.378.361.297.245,
462.461.460.453.441.431.364.296.PMID-26765445,21
462.461.460.453.441.431.364.296.PMID-33342785,21
462.459.456.449.433.422.295.PMID-27600471,21
462.459.456.449.433.422.295.263,
462.461.454.452.436.421.294.PMID-26070784,18
462.461.454.452.436.421.294.262,
462.459.448.418.376.333.293.PMID-23677579,21
462.459.448.418.376.333.293.abstract19,22
462.461.460.458.457.439.429.415.397.292.PMID-11841482,21
462.461.460.458.457.439.429.415.397.292.PMID-19219618,20
462.461.460.458.457.439.382.312.291.PMID-23464432,21
462.461.460.458.457.439.382.312.291.252,
462.459.448.443.398.363.290.PMID-26073781,22
462.459.448.443.398.363.290.PMID-26458823,22
462.461.460.453.450.437.423.387.289.PMID-17548676,21
462.461.460.453.450.437.423.387.289.267,
462.459.456.444.427.386.330.288.PMID-20406955,21
462.459.456.444.427.386.330.288.abstract08,21
462.461.460.453.450.437.423.357.287.PMID-21523452,21
462.461.460.453.450.437.423.357.287.266,
462.461.454.438.425.393.338.286.abstract16,19
462.461.454.438.425.393.338.286.248,
462.459.456.444.427.399.365.285.PMID-18837888,21
462.459.456.444.427.399.365.285.PMID-26517870,21
462.461.460.458.457.455.446.434.396.374.284.PMID-26053551,20
462.461.460.458.457.455.446.434.396.374.284.PMID-29767749,20
462.459.456.444.430.380.373.283.PMID-19567422,22
462.459.456.444.430.380.373.283.PMID-20634197,21
462.461.460.453.450.419.347.282.PMID-23555315,21
462.461.460.453.450.419.347.282.PMID-25862352,21
462.461.460.458.457.455.451.447.435.388.314.281.PMID-24373701,21
462.461.460.458.457.455.451.447.435.388.314.281.249,
462.459.456.449.420.280.PMID-23977236,21
462.459.456.449.420.280.PMID-23977306,21
462.461.454.452.436.390.325.279.PMID-23593120,19
462.461.454.452.436.390.325.279.PMID-23629941,19
462.461.454.438.425.412.331.278.PMID-23185313,18
462.461.454.438.425.412.331.278.PMID-33952417,19
462.459.456.444.427.399.322.277.PMID-23136140,21
462.459.456.444.427.399.322.277.PMID-29073238,21
462.459.456.444.427.386.341.307.276.PMID-19372141,21
462.459.456.444.427.386.341.307.276.PMID-25003827,21
462.461.460.453.441.431.411.384.359.348.275.PMID-20056641,21
462.461.460.453.441.431.411.384.359.348.275.PMID-23609471,21
462.461.460.453.441.431.411.384.359.348.298.274.PMID-21751184,21
462.461.460.453.441.431.411.384.359.348.298.274.PMID-26547792,21
462.459.448.418.376.273.PMID-22037553,22
462.459.448.418.376.273.PMID-25007960,22
462.461.460.458.457.455.451.447.435.388.335.272.PMID-22418777,21
462.461.460.458.457.455.451.447.435.388.335.272.PMID-27863437,21
462.461.454.452.436.421.409.391.383.356.271.PMID-22433456,18
462.461.454.452.436.421.409.391.383.356.271.PMID-27461695,18
462.461.460.453.441.408.372.346.270.PMID-27149063,21
462.461.460.453.441.408.372.346.270.PMID-33721012,21
462.461.454.438.404.269.abstract09,17
462.461.454.438.404.269.abstract13,18
462.461.454.452.436.421.409.391.315.268.PMID-17416766,18
462.461.454.452.436.421.409.391.315.268.PMID-18575592,18
462.461.460.453.450.437.423.387.289.267.PMID-12925957,21
462.461.460.453.450.437.423.387.289.267.PMID-23526039,21
462.461.460.453.450.437.423.357.287.266.PMID-23674270,21
462.461.460.453.450.437.423.357.287.266.abstract18,21
462.461.460.453.450.419.347.265.PMID-20826828,21
462.461.460.453.450.419.347.265.abstract20,21
462.461.460.458.457.439.429.362.349.264.PMID-23053628,21
462.461.460.458.457.439.429.362.349.264.PMID-27835577,21
462.459.456.449.433.422.295.263.PMID-25027329,21
462.459.456.449.433.422.295.263.PMID-25652398,21
462.461.454.452.436.421.294.262.PMID-22452962,18
462.461.454.452.436.421.294.262.PMID-23107584,17
462.461.460.453.450.437.417.400.360.261.PMID-21382839,21
462.461.460.453.450.437.417.400.360.261.PMID-25142973,21
462.461.454.438.425.393.338.260.PMID-23755158,18
462.461.454.438.425.393.338.260.PMID-27572337,18
462.461.460.453.441.408.326.259.PMID-23001753,21
462.461.460.453.441.408.326.259.PMID-25566964,21
462.461.460.458.457.455.451.447.435.426.402.345.258.abstract02,21
462.461.460.458.457.455.451.447.435.426.402.345.258.abstract11,20
462.461.460.458.457.455.446.434.396.374.316.257.PMID-20003447,21
462.461.460.458.457.455.446.434.396.374.316.257.PMID-24780616,21
462.461.460.458.457.455.451.447.435.388.335.256.PMID-17268813,21
462.461.460.458.457.455.451.447.435.388.335.256.PMID-19089925,21
462.461.454.438.425.393.255.239,
462.461.454.438.425.393.255.241,
462.461.460.453.450.437.423.357.303.254.PMID-24443403,21
462.461.460.453.450.437.423.357.303.254.PMID-25855707,21
462.461.460.453.450.437.417.400.360.253.PMID-14973105,21
462.461.460.453.450.437.417.400.360.253.PMID-21660508,21
462.461.460.458.457.439.382.312.291.252.PMID-23888322,21
462.461.460.458.457.439.382.312.291.252.PMID-25531440,21
462.461.460.453.441.431.364.350.251.PMID-21694446,21
462.461.460.453.441.431.364.350.251.PMID-23940692,21
462.461.460.458.457.439.382.342.250.PMID-20390341,21
462.461.460.458.457.439.382.342.250.243,
462.461.460.458.457.455.451.447.435.388.314.281.249.PMID-15317758,21
462.461.460.458.457.455.451.447.435.388.314.281.249.PMID-31605532,21
462.461.454.438.425.393.338.286.248.abstract07,19
462.461.454.438.425.393.338.286.248.233,
462.461.460.458.457.455.451.447.435.426.403.328.308.247.PMID-24481062,20
462.461.460.458.457.455.451.447.435.426.403.328.308.247.237,
462.461.460.458.457.455.451.447.435.426.403.358.334.300.246.PMID-24292867,21
462.461.460.458.457.455.451.447.435.426.403.358.334.300.246.PMID-26758508,21
462.461.460.453.450.437.417.378.361.297.245.PMID-16835328,21
462.461.460.453.450.437.417.378.361.297.245.PMID-30078824,21
462.461.454.438.425.412.331.244.PMID-22631658,19
462.461.454.438.425.412.331.244.PMID-24528085,18
462.461.460.458.457.439.382.342.250.243.PMID-24595411,21
462.461.460.458.457.439.382.342.250.243.PMID-31454181,21
462.459.448.443.428.370.320.242.PMID-23104177,21
462.459.448.443.428.370.320.242.abstract05,21
462.461.454.438.425.393.255.241.PMID-24743323,18
462.461.454.438.425.393.255.241.PMID-27459855,19
462.461.460.453.450.437.417.378.361.297.240.PMID-20033770,21
462.461.460.453.450.437.417.378.361.297.240.PMID-23909490,21
462.461.454.438.425.393.255.239.PMID-22348646,18
462.461.454.438.425.393.255.239.abstract14,18
462.459.456.449.420.389.238.PMID-23977314,21
462.459.456.449.420.389.238.PMID-24039999,21
462.461.460.458.457.455.451.447.435.426.403.328.308.247.237.PMID-23893088,21
462.461.460.458.457.455.451.447.435.426.403.328.308.247.237.PMID-26364163,21
462.459.456.444.430.379.336.236.PMID-27556229,21
462.459.456.444.430.379.336.236.PMID-27640304,21
462.459.448.418.235.PMID-24080446,22
462.459.448.418.235.PMID-25227710,22
462.461.460.458.457.455.446.424.368.304.234.PMID-20676755,21
462.461.460.458.457.455.446.424.368.304.234.PMID-21693626,21
462.461.454.438.425.393.338.286.248.233.PMID-18611262,19
462.461.454.438.425.393.338.286.248.233.PMID-24510657,19
462.461.460.458.457.455.451.447.440.407.394.232.PMID-16672066,21
462.461.460.458.457.455.451.447.440.407.394.232.PMID-17683639,21
